Timestamp,hdc1080,install_box_location,Testo
20:09:55,21.54,out,21.6
20:09:55,21.54,out,21.6
20:09:56,21.44,out,21.6
20:09:57,21.44,out,21.6
20:09:57,21.50,out,21.6
20:09:58,21.49,out,21.6
20:09:58,21.37,out,21.6
20:09:59,21.58,out,21.6
20:09:59,21.50,out,21.6
20:10:00,21.46,out,21.6
20:10:01,21.50,out,21.6
20:10:01,21.52,out,21.6
20:10:02,21.56,out,21.6
20:10:02,21.54,out,21.6
20:10:03,21.49,out,21.6
20:10:03,21.50,out,21.6
20:10:04,21.59,out,21.6
20:10:05,21.28,out,21.6
20:10:05,21.52,out,21.6
20:10:06,21.40,out,21.6
20:10:06,21.49,out,21.6
